author_id,name,first_publish_year,total_books
/authors/OL1392722A,Anthony Doerr,2021,1
/authors/OL23206A,Greg Bear,2000,1
/authors/OL2623461A,Arthur C. Clarke,1956,3
/authors/OL2623461A,Arthur C. Clarke,1982,3
/authors/OL2623461A,Arthur C. Clarke,2001,3
/authors/OL26392A,Katherine Applegate,2001,4
/authors/OL2704192A,Felicity Brooks,1999,1
/authors/OL3338243A,Joanna Cole,1990,1
/authors/OL34221A,Isaac Asimov,1952,1
/authors/OL7525751A,Drew Brockington,2017,1
/authors/OL765755A,Clifford D. Simak,1952,1
